20220912T,24.65,24.65,24.65,24.65,0.00
20220913T,24.65,24.65,24.65,24.65,0.00
20220914T,24.70,24.70,24.70,24.70,0.00
20220915T,24.80,24.80,24.80,24.80,0.00
20220916T,24.80,24.80,24.80,24.80,0.00
20220919T,24.85,24.85,24.85,24.85,0.00
20220920T,24.95,24.95,24.95,24.95,0.00
20220921T,24.95,24.95,24.95,24.95,0.00
20220922T,25.05,25.05,25.05,25.05,0.00
20220923T,25.40,25.40,25.40,25.40,0.00
20220926T,25.65,25.65,25.65,25.65,0.00
20220927T,25.70,25.70,25.70,25.70,0.00
20220928T,25.70,25.70,25.70,25.70,0.00
20220929T,25.85,25.85,25.85,25.85,0.00
20220930T,25.85,25.85,25.85,25.85,0.00
20221003T,26.00,26.00,26.00,26.00,0.00
20221004T,26.00,26.00,26.00,26.00,0.00
20221005T,25.85,25.85,25.85,25.85,0.00
20221006T,25.80,25.80,25.80,25.80,0.00
20221007T,25.80,25.80,25.80,25.80,0.00
20221010T,25.75,25.75,25.75,25.75,0.00
20221011T,25.65,25.65,25.65,25.65,0.00
20221012T,25.35,25.35,25.35,25.35,0.00
20221013T,25.00,25.00,25.00,25.00,0.00
20221014T,24.80,24.80,24.80,24.80,0.00
20221017T,25.00,25.00,25.00,25.00,0.00
20221018T,25.10,25.10,25.10,25.10,0.00
20221019T,25.10,25.10,25.10,25.10,0.00
20221020T,25.30,25.30,25.30,25.30,0.00
20221021T,25.30,25.30,25.30,25.30,0.00
20221024T,25.30,25.30,25.30,25.30,0.00
20221025T,25.30,25.30,25.30,25.30,0.00
20221026T,25.35,25.35,25.35,25.35,0.00
20221027T,25.45,25.45,25.45,25.45,0.00
20221028T,25.25,25.25,25.25,25.25,0.00
20221031T,25.25,25.25,25.25,25.25,0.00
20221101T,25.30,25.30,25.30,25.30,0.00
20221102T,25.55,25.55,25.55,25.55,0.00
20221103T,25.85,25.85,25.85,25.85,0.00
20221104T,25.95,25.95,25.95,25.95,0.00
20221107T,26.10,26.10,26.10,26.10,0.00
20221108T,26.35,26.35,26.35,26.35,0.00
20221109T,26.45,26.45,26.45,26.45,0.00
20221110T,26.45,26.45,26.45,26.45,0.00
20221111T,26.45,26.45,26.45,26.45,0.00
20221114T,26.55,26.55,26.55,26.55,0.00
20221115T,26.55,26.55,26.55,26.55,0.00
20221116T,26.85,26.85,26.85,26.85,0.00
20221117T,27.20,27.20,27.20,27.20,0.00
20221118T,27.20,27.20,27.20,27.20,0.00
20221121T,27.20,27.20,27.20,27.20,0.00
20221122T,27.20,27.20,27.20,27.20,0.00
20221123T,27.20,27.20,27.20,27.20,0.00
20221125T,27.20,27.20,27.20,27.20,0.00
20221128T,27.20,27.20,27.20,27.20,0.00
20221129T,27.20,27.20,27.20,27.20,0.00
20221130T,27.20,27.20,27.20,27.20,0.00
20221201T,27.60,27.60,27.60,27.60,0.00
20221202T,27.75,27.75,27.75,27.75,0.00
20221205T,27.75,27.75,27.75,27.75,0.00
20221206T,27.85,27.85,27.85,27.85,0.00
20221207T,27.85,27.85,27.85,27.85,0.00
20221208T,28.05,28.05,28.05,28.05,0.00
20221209T,28.20,28.20,28.20,28.20,0.00
20221212T,28.40,28.40,28.40,28.40,0.00
20221213T,28.50,28.50,28.50,28.50,0.00
20221214T,28.50,28.50,28.50,28.50,0.00
20221215T,28.50,28.50,28.50,28.50,0.00
20221216T,28.50,28.50,28.50,28.50,0.00
20221219T,28.55,28.55,28.55,28.55,0.00
20221220T,28.65,28.65,28.65,28.65,0.00
20221221T,28.70,28.70,28.70,28.70,0.00
20221222T,28.70,28.70,28.70,28.70,0.00
20221223T,28.70,28.70,28.70,28.70,0.00
20221227T,28.70,28.70,28.70,28.70,0.00
20221228T,28.85,28.85,28.85,28.85,0.00
20221229T,28.95,28.95,28.95,28.95,0.00
20221230T,28.95,28.95,28.95,28.95,0.00
20230103T,28.95,28.95,28.95,28.95,0.00
20230104T,28.95,28.95,28.95,28.95,0.00
20230105T,28.95,28.95,28.95,28.95,0.00
20230106T,28.95,28.95,28.95,28.95,0.00
20230109T,28.90,28.90,28.90,28.90,0.00
20230110T,28.90,28.90,28.90,28.90,0.00
20230111T,28.90,28.90,28.90,28.90,0.00
20230112T,29.00,29.00,29.00,29.00,0.00
20230113T,29.05,29.05,29.05,29.05,0.00
20230117T,29.40,29.40,29.40,29.40,0.00
20230118T,29.45,29.45,29.45,29.45,0.00
20230119T,29.55,29.55,29.55,29.55,0.00
20230120T,30.15,30.15,30.15,30.15,0.00
20230123T,30.55,30.55,30.55,30.55,0.00
20230124T,31.55,31.55,31.55,31.55,0.00
20230125T,31.25,31.25,31.25,31.25,0.00
20230126T,31.25,31.25,31.25,31.25,0.00
20230127T,31.25,31.25,31.25,31.25,0.00
20230130T,31.25,31.25,31.25,31.25,0.00
20230131T,30.50,30.50,30.50,30.50,0.00
20230201T,30.00,30.00,30.00,30.00,0.00
20230202T,30.00,30.00,30.00,30.00,0.00
20230203T,30.00,30.00,30.00,30.00,0.00
20230206T,30.00,30.00,30.00,30.00,0.00
20230207T,30.40,30.40,30.40,30.40,0.00
20230208T,30.40,30.40,30.40,30.40,0.00
20230209T,30.40,30.40,30.40,30.40,0.00
20230210T,30.40,30.40,30.40,30.40,0.00
20230213T,30.00,30.00,30.00,30.00,0.00
20230214T,29.80,29.80,29.80,29.80,0.00
20230215T,29.70,29.70,29.70,29.70,0.00
20230216T,29.60,29.60,29.60,29.60,0.00
20230217T,29.40,29.40,29.40,29.40,0.00
20230221T,29.15,29.15,29.15,29.15,0.00
20230222T,28.85,28.85,28.85,28.85,0.00
20230223T,28.70,28.70,28.70,28.70,0.00
20230224T,28.55,28.55,28.55,28.55,0.00
20230227T,28.55,28.55,28.55,28.55,0.00
20230228T,28.20,28.20,28.20,28.20,0.00
20230301T,28.10,28.10,28.10,28.10,0.00
20230302T,28.10,28.10,28.10,28.10,0.00
20230303T,28.25,28.25,28.25,28.25,0.00
